162	Ratio H/L HeLa_CX_1h_R1
163	Ratio H/L HeLa_CX_1h_R1___1
164	Ratio H/L HeLa_CX_1h_R1___2
165	Ratio H/L HeLa_CX_1h_R1___3
166	Ratio H/L normalized HeLa_CX_1h_R1
167	Ratio H/L normalized HeLa_CX_1h_R1___1
168	Ratio H/L normalized HeLa_CX_1h_R1___2
169	Ratio H/L normalized HeLa_CX_1h_R1___3
170	Ratio H/L unmod. pep. HeLa_CX_1h_R1
171	Ratio H/L localized HeLa_CX_1h_R1
172	Ratio H/L nmods HeLa_CX_1h_R1
173	Ratio H/L variability [%] HeLa_CX_1h_R1
174	Ratio H/L count HeLa_CX_1h_R1
175	Ratio H/L iso-count HeLa_CX_1h_R1
176	Ratio H/L type HeLa_CX_1h_R1
177	Occupancy L HeLa_CX_1h_R1
178	Occupancy H HeLa_CX_1h_R1
179	Ratio H/L HeLa_CX_1h_R2
180	Ratio H/L HeLa_CX_1h_R2___1
181	Ratio H/L HeLa_CX_1h_R2___2
182	Ratio H/L HeLa_CX_1h_R2___3
183	Ratio H/L normalized HeLa_CX_1h_R2
184	Ratio H/L normalized HeLa_CX_1h_R2___1
185	Ratio H/L normalized HeLa_CX_1h_R2___2
186	Ratio H/L normalized HeLa_CX_1h_R2___3
187	Ratio H/L unmod. pep. HeLa_CX_1h_R2
188	Ratio H/L localized HeLa_CX_1h_R2
189	Ratio H/L nmods HeLa_CX_1h_R2
190	Ratio H/L variability [%] HeLa_CX_1h_R2
191	Ratio H/L count HeLa_CX_1h_R2
192	Ratio H/L iso-count HeLa_CX_1h_R2
193	Ratio H/L type HeLa_CX_1h_R2
194	Occupancy L HeLa_CX_1h_R2
195	Occupancy H HeLa_CX_1h_R2
196	Ratio H/L HeLa_CX_1h_R3
197	Ratio H/L HeLa_CX_1h_R3___1
198	Ratio H/L HeLa_CX_1h_R3___2
199	Ratio H/L HeLa_CX_1h_R3___3
200	Ratio H/L normalized HeLa_CX_1h_R3
201	Ratio H/L normalized HeLa_CX_1h_R3___1
202	Ratio H/L normalized HeLa_CX_1h_R3___2
203	Ratio H/L normalized HeLa_CX_1h_R3___3
204	Ratio H/L unmod. pep. HeLa_CX_1h_R3
205	Ratio H/L localized HeLa_CX_1h_R3
206	Ratio H/L nmods HeLa_CX_1h_R3
207	Ratio H/L variability [%] HeLa_CX_1h_R3
208	Ratio H/L count HeLa_CX_1h_R3
209	Ratio H/L iso-count HeLa_CX_1h_R3
210	Ratio H/L type HeLa_CX_1h_R3
211	Occupancy L HeLa_CX_1h_R3
212	Occupancy H HeLa_CX_1h_R3
213	Ratio H/L HeLa_CX_1h_R4
214	Ratio H/L HeLa_CX_1h_R4___1
215	Ratio H/L HeLa_CX_1h_R4___2
216	Ratio H/L HeLa_CX_1h_R4___3
217	Ratio H/L normalized HeLa_CX_1h_R4
218	Ratio H/L normalized HeLa_CX_1h_R4___1
219	Ratio H/L normalized HeLa_CX_1h_R4___2
220	Ratio H/L normalized HeLa_CX_1h_R4___3
221	Ratio H/L unmod. pep. HeLa_CX_1h_R4
222	Ratio H/L localized HeLa_CX_1h_R4
223	Ratio H/L nmods HeLa_CX_1h_R4
224	Ratio H/L variability [%] HeLa_CX_1h_R4
225	Ratio H/L count HeLa_CX_1h_R4
226	Ratio H/L iso-count HeLa_CX_1h_R4
227	Ratio H/L type HeLa_CX_1h_R4
228	Occupancy L HeLa_CX_1h_R4
229	Occupancy H HeLa_CX_1h_R4
230	Ratio H/L HeLa_CX_1h_R5
231	Ratio H/L HeLa_CX_1h_R5___1
232	Ratio H/L HeLa_CX_1h_R5___2
233	Ratio H/L HeLa_CX_1h_R5___3
234	Ratio H/L normalized HeLa_CX_1h_R5
235	Ratio H/L normalized HeLa_CX_1h_R5___1
236	Ratio H/L normalized HeLa_CX_1h_R5___2
237	Ratio H/L normalized HeLa_CX_1h_R5___3
